Date,Station,"Alkalinity, total",Aluminum,Ammonia,Ammonium,Arsenic,BORON,Biochemical oxygen demand,"Biochemical oxygen demand, standard conditions",Cadmium,Chlorophyll a,Chromium,Cobalt,Conductivity,Copper,Depth,Dissolved Inorganic Nitrogen,Dissolved Organic Carbon,Dissolved Oxygen,Escherichia coli,Fecal Coliform,"Fecal Coliform, C","Fecal Coliform, M",Inorganic nitrogen (nitrate and nitrite),Iron,Iron_U,Kjeldahl Nitrogen,Lead,Lithium,Magnesium,Manganese,Mercury,Nitrate,Nitrate & Nitrite,Nitrite,Nitrogen,Organic Carbon,Organic Phosphorus,Orthophosphate,Oxidized Nitrogen,PP,Particulate Organic Carbon,Pheophytin a,Phosphorus,SIF,Secchi,Selenium,Silica,Silver,TCOLI_C,TCOLI_M,TDP,TKNW,"Temperature, water",Total Coliform,Total Hardness,Total hardness,Total suspended solids,Turbidity,Zinc,pH,Watershed,months,month,year,quarter,YearQuart
1/14/1997,AAG02,86,,,,,,4.300000191,,,,,,,,0.100000001,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,,,100,,,Anacostia Mainstem,1997-01,1,1997,1,1997Q1
1/5/1998,AAG02,80,,,0.63499999,,,5.5,,,,,,432,,0.100000001,1.409999967,,10.89999962,,,,,,,,,,,,,,,0.774999976,,,,,0.006,,,,,,,,,,,,,,,8.100000381,,102,,293,40,,7.099999905,Anacostia Mainstem,1998-01,1,1998,1,1998Q1
10/20/1997,AAG02,40,,,0.098999999,,,1.700000048,,,,,,193,,0.100000001,,,5.599999905,,1700,,,,,,,,,,,,,,,,,,0.029999999,,,,,,,,,,,,,,,13.60000038,,,,1,39,,6.900000095,Anacostia Mainstem,1997-10,10,1997,4,1997Q4
10/8/1996,AAG02,33,,,,,,2.799999952,,,,,,283,,0.100000001,,,5.199999809,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.10000038,,93,,6,25,,6.900000095,Anacostia Mainstem,1996-10,10,1996,4,1996Q4
11/18/1996,AAG02,36,,,,,,,,,,,,295,,0.100000001,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.800000191,,119,,,30,,6.599999905,Anacostia Mainstem,1996-11,11,1996,4,1996Q4
11/4/1997,AAG02,53,,,0.203999996,,,2,,,,,,236,,0.100000001,0.662,,7,,1100,,,,,,,,,,,,,0.458000004,,,,,0.02,,,,,,,,,,,,,,,12,,105,,56,35,,6.699999809,Anacostia Mainstem,1997-11,11,1997,4,1997Q4
12/10/1996,AAG02,32,,,,,,2.299999952,,,,,,280,,0.100000001,,,6.800000191,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.800000191,,270,,5,10,,6.800000191,Anacostia Mainstem,1996-12,12,1996,4,1996Q4
12/2/1997,AAG02,110,,,0.716000021,,,5.099999905,,,,,,334,,0.100000001,0.75,,8.899999619,,30,,,,,,,,,,,,,0.034000002,,,,,0.054000001,,,,,,,,,,,,,,,2.700000048,,164,,2,35,,6.5,Anacostia Mainstem,1997-12,12,1997,4,1997Q4
2/11/1997,AAG02,44,,,0.458999991,,,,,,,,,1652,,0.100000001,1.578999996,,13.30000019,,1300,,,,,,,,,,,,,1.120000005,,,,,0.041000001,,,,,,,,,,,,,,,2.900000095,,149,,20,10,,7.300000191,Anacostia Mainstem,1997-02,2,1997,1,1997Q1
3/11/1997,AAG02,56,,,0.094999999,,,1.600000024,,,,,,,,0.100000001,1.924999952,,,,,,,,,,,,,,,,,1.830000043,,,,,,,,,,,,,,,,,,,,,,128,,42,35,,,Anacostia Mainstem,1997-03,3,1997,1,1997Q1
4/7/1997,AAG02,46,,,0.105999999,,,1.399999976,,,,,,,,0.100000001,1.105999947,,,,800,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,112,,16,20,,,Anacostia Mainstem,1997-04,4,1997,2,1997Q2
5/6/1996,AAG02,42,,,0.166999996,,,3.799999952,,,,,,192,,0.100000001,,,6.199999809,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.79999924,,90,,,90,,7.400000095,Anacostia Mainstem,1996-05,5,1996,2,1996Q2
5/6/1997,AAG02,54,,,0.226999998,,,1.700000048,,,,,,287,,0.100000001,1.187000036,,7.599999905,,11000,,,,,,,,,,,,,0.959999979,,,,,0.005,,,,,,,,,,,,,,,16.60000038,,98,,,20,,6.800000191,Anacostia Mainstem,1997-05,5,1997,2,1997Q2
6/10/1997,AAG02,61,,,0.536000013,,,3,,,,,,303,,0.100000001,0.973999977,,7.699999809,,800,,,,,,,,,,,,,0.437999994,,,,,0.032000002,,,,,,,,,,,,,,,21,,120,,40,30,,6.900000095,Anacostia Mainstem,1997-06,6,1997,2,1997Q2
6/15/1998,AAG02,43,,,0.243000001,,,0.899999976,,,,,,,,0,0.880999982,,,,3000,,,,,,,,,,,,,0.638000011,,,,,0.022,,,,,,,0.100000001,,,,,30000,,,21.5,,60,,56,75,,6.599999905,Anacostia Mainstem,1998-06,6,1998,2,1998Q2
6/3/1996,AAG02,55,,,0.277999997,,,1.899999976,,,,,,286,,0.100000001,2.517999887,,4.900000095,,,,,,,,,,,,,,,2.24000001,,,,,,,,,,,,,,,,,,,,19.89999962,,134,,30,29,,7.199999809,Anacostia Mainstem,1996-06,6,1996,2,1996Q2
7/15/1996,AAG02,49,,,,,,1.799999952,,,,,,190,,0.100000001,,,2.200000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.20000076,,112,,41,60,,6.900000095,Anacostia Mainstem,1996-07,7,1996,3,1996Q3
7/7/1997,AAG02,61,,,0.412999988,,,2.700000048,,,,,,294,,0.100000001,0.828999996,,3.599999905,,3000,,,,,,,,,,,,,0.416000009,,,,,,,,,,,,,,,,,,,,25.70000076,,116,,24,25,,7.300000191,Anacostia Mainstem,1997-07,7,1997,3,1997Q3
8/12/1996,AAG02,40,,,,,,5.800000191,,,,,,310,,0.100000001,,,3.400000095,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,132,,3,20,,6.699999809,Anacostia Mainstem,1996-08,8,1996,3,1996Q3
9/15/1997,AAG02,57,,,,,,8.300000191,,,,,,243,,0.100000001,,,5.400000095,,1700,,,,,,,,,,,,,0.545000017,,,,,0.018999999,,,,,,,,,,,,,,,21.60000038,,93,,16,20,,6.5,Anacostia Mainstem,1997-09,9,1997,3,1997Q3
9/17/1996,AAG02,36,,,,,,2,,,,,,310.5,,0.550000001,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.05000019,,80,,,34,,6.699999809,Anacostia Mainstem,1996-09,9,1996,3,1996Q3
1/10/1995,ANA01,38,,,0.163000003,5,,1.399999976,,5,,10,,265,25,0,,,11.89999962,,944,,,,,1145,,5,,,,0.200000003,,,0.017000001,,,,,,,,,,3.599999905,0.699999988,5,,,,,,,3.400000095,,86,,6,13,,6.900000095,Anacostia Mainstem,1995-01,1,1995,1,1995Q1
1/10/2006,ANA01,58,,0.05,,,,,1.4,,,,,,,,,,14.9,,500,,,,,,,,,,,,,,0.019,,,,,,,,,,,,,,,,,,,,,,104,4,,,,Anacostia Mainstem,2006-01,1,2006,1,2006Q1
1/10/2012,ANA01,54,,0.067,,,,,1.1,,,,,,,,,,11.8,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,12,,,,Anacostia Mainstem,2012-01,1,2012,1,2012Q1
1/11/2005,ANA01,48,,0.095,,,,,0.9,,,,,,,,,,11,,140,,,,,,,,,,,,,,0.019,,,,,,,,,,,,,,,,,,,,,,84,20,,,,Anacostia Mainstem,2005-01,1,2005,1,2005Q1
1/12/2016,ANA01,38,,0.095,,,,,1.8,,,,,,,,,,10.8,2022,,,,,,,,,,,,,,,0.013,,,,0.005,,,,,,,,,,,,,,,,,,68,18,,,,Anacostia Mainstem,2016-01,1,2016,1,2016Q1
1/13/2009,ANA01,40,,,,,,,,,,,,,,,,,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,Anacostia Mainstem,2009-01,1,2009,1,2009Q1
1/14/2003,ANA01,46,,0.096,,,,,2.1,,,,,,,,,,14.1,,230,,,1.18,,,,,,,,,,,0.01,,,,0.008,,,,,,,,,,,,,,,,,,116,20,,,,Anacostia Mainstem,2003-01,1,2003,1,2003Q1
1/14/2014,ANA01,38,,0.093,,,,,1.6,,,,,,,,,,11.7,1300,,,,,,,,,,,,,,,0.012,,,,,,,,,,,,,,,,,,,,,,82,11,,,,Anacostia Mainstem,2014-01,1,2014,1,2014Q1
1/15/2008,ANA01,58,,0.086,,,,,1.3,,,,,,,,,,12.7,33,,,,,,,,,,,,,,,0.012,,,,,,,,,,,,,,,,,,,,,,114,12,,,,Anacostia Mainstem,2008-01,1,2008,1,2008Q1
1/15/2013,ANA01,48,,,,,,,2.2,,,,,,,,,,9.64,2420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,12,,,,Anacostia Mainstem,2013-01,1,2013,1,2013Q1
1/16/1985,ANA01,,,,0.460999995,,,4,,,1,,,,,0.1,1.963000059,1.299999952,,,,,,,,,1.230000019,,,,,,1.49000001,1.5,0.012,2.732000113,1.299999952,0.008,0.012,0.768999994,0.039000001,0,1,0.059,,,,,,,,0.02,,,,,,9,,,,Anacostia Mainstem,1985-01,1,1985,1,1985Q1
1/28/1991,ANA01,40,,,0.172000006,5,,1,,5,,10,,,25,0.100000001,1.44599998,4.199999809,,,,,,,962,,0.442000002,50,,,,0.200000003,1.25999999,1.269999981,0.014,1.715999961,4.400000095,0.00875,0.007,0.270000011,0.017000001,0.200000003,,0.030999999,4.730000019,,5,,,,,0.014,,,,60,,7,15,,,Anacostia Mainstem,1991-01,1,1991,1,1991Q1
1/31/1984,ANA01,32,,,0.172000006,,,1.5,,,1,,,143,,0.1,1.468000054,,10.60000038,,,,,,,,0.49000001,,,,,,1.279999971,1.299999952,0.016000001,1.786000013,,0.017000001,0.008,0.317999989,0.027000001,,1,0.052000001,4.239999771,,,,,,,0.025,,2.5,,4,,4,26,,,Anacostia Mainstem,1984-01,1,1984,1,1984Q1
1/4/1994,ANA01,40,,,0.605000019,5,,1.799999952,,5,,10,,750,25,0.100000001,,4.400000095,12.19999981,,230,,,,,1232,,5,,,,0.200000003,,,0.032000002,,7.099999905,,0.012,,,2.700000048,,,5.300000191,,5,,,,,,,2,,102,,13,18,,6.900000095,Anacostia Mainstem,1994-01,1,1994,1,1994Q1
1/5/1993,ANA01,24,,,0.079999998,,,3.799999952,,,,,,119,,0,0.617500008,5.699999809,10.5,,800,,,,,,,,,,,,0.529999971,0.537500024,0.01,,8.199999809,,0.059999999,,,2.5,,,2.00999999,0.100000001,,,,,,,,12.19999981,,40,,,750,,7,Anacostia Mainstem,1993-01,1,1993,1,1993Q1
1/5/2009,ANA01,,,0.071,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,Anacostia Mainstem,2009-01,1,2009,1,2009Q1
1/6/1987,ANA01,42,,,0.145999998,,,1.5,,,,,,306,,0.1,1.343499959,4,12.80000019,,,,,,,,0.381999999,,,,,,1.190000057,1.19750005,0.01,1.57950002,4.099999905,0.003,0.009,0.236000001,0.025,0.100000001,,0.037,,0.5,,,,,,0.012,,2.200000048,,86,,5,22,,6.699999809,Anacostia Mainstem,1987-01,1,1987,1,1987Q1
1/6/1998,ANA01,48,,,0.177000001,,,0.699999988,,,,,,361,,0,1.366999984,,11.19999981,,,,,,,,,,,,,,,1.190000057,,,,,0.005,,,,,,,0.800000012,,,,,,,,7.199999809,,100,,,10,,7.599999905,Anacostia Mainstem,1998-01,1,1998,1,1998Q1
1/7/1986,ANA01,30,,,0.246000007,,,2.599999905,,,1,,,294,,0.3,1.414000034,2.400000095,11.10000038,,120,,,,,,0.828999996,,,,,,1.149999976,1.169999957,0.017999999,1.996999979,2.900000095,0.00975,0.007,0.583000004,0.041000001,0.5,1,0.056000002,3.299999952,,,,,,,0.015,,1.799999952,,74,,12,19,,7.400000095,Anacostia Mainstem,1986-01,1,1986,1,1986Q1
1/7/1992,ANA01,40,,,0.103,,,2.299999952,,,,,,230,,0,0.918500007,,11.5,,,3400,,,,,0.987999976,,,,,,0.808000028,0.815500021,0.01,1.803499997,,0.028000001,0.017999999,0.88499999,0.046,,,0.092,3.339999914,0.300000012,,,,,,0.046,,5.800000191,,84,,7,39,,7.099999905,Anacostia Mainstem,1992-01,1,1992,1,1992Q1
1/7/1997,ANA01,40,,,,,,0.800000012,,,,,,276,,0,,,10.89999962,,3000,,,,,,,,,,,,,,,,,,,,,,,,,1.799999952,,,,,,,,8.600000381,,148,,,15,,7.5,Anacostia Mainstem,1997-01,1,1997,1,1997Q1
1/8/2002,ANA01,54,,0.203,,,,,3.1,,1.4,,,,,,,,12.7,,2300,,,0.698,1298,,,,,,,,,,0.016,,,,0.017,,,,1.7,,,,,,,,,,,,,,106,,,22,,Anacostia Mainstem,2002-01,1,2002,1,2002Q1
1/9/1989,ANA01,40,,,0.286000013,,,2.099999905,,,,,,731,,0,1.644000053,5.099999905,12.19999981,,,,2200,,,,1.5,,,,,,1.330000043,1.360000014,0.028000001,2.85800004,6.900000095,,,1.213999987,0.029500002,1.799999952,,0.037,4.150000095,0.300000012,,,,,,0.01,,3.700000048,,88,,19,37,,6.300000191,Anacostia Mainstem,1989-01,1,1989,1,1989Q1
1/9/2007,ANA01,48,,,,,,,2.6,,,,,,,,,,14.9,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,24,,,,Anacostia Mainstem,2007-01,1,2007,1,2007Q1
10/1/1996,ANA01,28,,,,,,1.5,,,,,,215.3333333,,1,,,7.23333327,,2300,,,,,,,,,,,,,,,,,,,,,,,,,0.300000012,,,,,,,,17.73333359,,82,,,30,,6.933333397,Anacostia Mainstem,1996-10,10,1996,4,1996Q4
10/1/2012,ANA01,58,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,9,,,,Anacostia Mainstem,2012-10,10,2012,4,2012Q4
10/13/1998,ANA01,84,,,0.323000014,,,,,,,,,272,,0.5,,,5.799999952,,800,,,,,,,,,,,,,,,,,,0.003,,,,,,,0.5,,,,,,,,17.39999962,,118,,12,15,,6.900000095,Anacostia Mainstem,1998-10,10,1998,4,1998Q4
10/15/1986,ANA01,54,,,0.093999997,,,3,,,4,,,235.5,,0.45,4.528999805,6.400000095,5.25,,,,,,,,1.110000014,,,,,,3.799999952,4.429999828,0.63499999,5.545000076,9.800000191,0.017750001,0.007,1.016000032,0.07,3.400000095,8,0.093000002,,0.200000003,,,,,,0.023,,17.55000019,,66,,40,72,,6.849999905,Anacostia Mainstem,1986-10,10,1986,4,1986Q4
10/15/1991,ANA01,58,,,0.301999986,,,,,,,,,297,,1,0.751999974,,5.633333365,,,,,,,,0.828000009,,,,,,0.428000003,0.449999988,0.022,1.277999997,,0.014,0.008,0.526000023,0.029999999,,,0.052000001,,0.5,,,,,,0.022,,14.89999994,,96,,37,31,,7.033333302,Anacostia Mainstem,1991-10,10,1991,4,1991Q4
10/15/2007,ANA01,78,,0.108,,,,,,,,,,,,,,,8.6,,,,,,,,,,,,,,,,0.019,,,,,,,,,,,,,,,,,,,,,,138,25,,,,Anacostia Mainstem,2007-10,10,2007,4,2007Q4
10/15/2012,ANA01,56,,,,,,,1,,,,,,,,,,6.933333333,145,,,,,,,,,,,,,,,0.033,,,,,,,,,,,,,,,,,,,,,,86,16,,,,Anacostia Mainstem,2012-10,10,2012,4,2012Q4
10/16/1990,ANA01,60,,,0.300999999,5,,2.700000048,,5,,10,,288,25,0,0.606999993,5.599999905,3.799999952,,,,,,1811,,1.029999971,50,,,,0.200000003,0.289000005,0.310000002,0.017000001,1.335999966,7.199999809,0.066,0.008,0.728999972,0.033,1.600000024,,0.107000001,3.069999933,0.400000006,5,,,1400,,0.074000001,,20.89999962,,86,,31,48,,6.699999809,Anacostia Mainstem,1990-10,10,1990,4,1990Q4
10/16/1995,ANA01,36,,,0.071999997,,,,,,,,,201.3333333,,1,,,7.599999905,,,,,,,,,,,,,,,,,,,,,,,,,,,0.200000003,,,,,,,,14.89999962,,80,,46,45,,7.766666571,Anacostia Mainstem,1995-10,10,1995,4,1995Q4
10/16/2001,ANA01,52,,0.054,,,,,3.7,,3.8,,,,,,,,2.9,,24000,,,0.536,968,,,,,,,,,,0.024,,,,0.009,,,,5.3,,,,,,,,,,,,,,82,,,,,Anacostia Mainstem,2001-10,10,2001,4,2001Q4
10/16/2017,ANA01,58,,0.191,,,,,,,,,,,,,,,4.74,770,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,96,17,,,,Anacostia Mainstem,2017-10,10,2017,4,2017Q4
10/17/1988,ANA01,64,,,0.298999995,,,,,,,,,333,,0.55,1.38499999,,8.100000381,,,,,,,,,,,,,,1.049999952,1.090000033,0.035999998,,,,0.007,,,,,,,0.200000003,,,,,,,,13.04999972,,102,,33,34,,6.849999905,Anacostia Mainstem,1988-10,10,1988,4,1988Q4
10/17/2006,ANA01,68,,0.131,,,,,1.3,,,,,,,,,,9.6,,500,,,,,,,,,,,,,,0.012,,,,,,,,,,,,,,,,,,,,,,98,10,,,,Anacostia Mainstem,2006-10,10,2006,4,2006Q4
10/17/2011,ANA01,120,,0.121,,,,,1.9,,,,,,,,,,7,387,,,,,,,,,,,,,,,0.028,,,,,,,,,,,,,,,,,,,,,,84,13,,,,Anacostia Mainstem,2011-10,10,2011,4,2011Q4
10/18/1993,ANA01,48,,,0.230000004,,,,,,,,,236.6666667,,1,,,3.599999905,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.400000006,,,,,,,,15.63333352,,70,,26,27,,7.066666762,Anacostia Mainstem,1993-10,10,1993,4,1993Q4
10/18/2004,ANA01,58,,0.163,,,,,1.6,,,,,,,,,,7.6,,800,,,,,,,,,,,,,,0.016,,,,,,,,,,,,,,,,,,,,,,114,20,,,,Anacostia Mainstem,2004-10,10,2004,4,2004Q4
10/18/2005,ANA01,66,,0.0158,,,,,0.9,,,,,,,,,,6.2,,300,,,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,,110,22,,,,Anacostia Mainstem,2005-10,10,2005,4,2005Q4
10/19/1992,ANA01,60,,,0.100000001,,,,,,,,,262,,0.100000001,0.569999993,,8.800000191,,,,,,,,,,,,,,0.449999988,0.469999999,0.02,,,,0.01,,,,,,3.329999924,,,,,,,,,12.69999981,,88,,,27,,6.800000191,Anacostia Mainstem,1992-10,10,1992,4,1992Q4
10/19/2009,ANA01,34,,0.062,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,0.011,,,,,,,,,,,,,,,,,,,,,,50,,,,,Anacostia Mainstem,2009-10,10,2009,4,2009Q4
10/19/2010,ANA01,68,,0.055,,,,,2,,,,,,,,,,8,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,12,,,,Anacostia Mainstem,2010-10,10,2010,4,2010Q4
10/2/1984,ANA01,30,,,0.068000004,,,2.900000095,,,4,,,100,,0.100000001,0.611999989,2.900000095,9,,4900,,,,,,0.63499999,,,,,,0.529999971,0.540000021,0.014,1.17900002,4.699999809,0.024,0.033,0.566999972,0.101000004,1.799999952,4,0.158000007,2.130000114,0.100000001,,,,,,0.057,,15,,70,,50,138,,7.699999809,Anacostia Mainstem,1984-10,10,1984,4,1984Q4
10/2/2000,ANA01,86,,0.189,,,,,1.3,,0,,,,,,,,6.6,,800,,,0.75,1646,,,,,,,,,,,,,,0.021,,,,0,,,,,,,,,,,,,,114,25,,,,Anacostia Mainstem,2000-10,10,2000,4,2000Q4
10/2/2006,ANA01,70,,,,,,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,Anacostia Mainstem,2006-10,10,2006,4,2006Q4
10/2/2007,ANA01,68,,,,,,,,,,,,,,,,,8.8,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,18,,,,Anacostia Mainstem,2007-10,10,2007,4,2007Q4
10/20/1987,ANA01,58,,,0.203999996,,,,,,,,,316,,0.55,,,8.400000096,,,,,,,,,,,,,,,,,,,,0.007,,,,,,,0.400000006,,,,,,,,14.75,,152,,,39,,6.649999857,Anacostia Mainstem,1987-10,10,1987,4,1987Q4
10/20/2003,ANA01,49,,0.122,,,,,,,,,,,,,,,9.2,,,,,0.844,,,,,,,,,,,0.013,,,,0.008,,,,,,,,,,,,,,,,,,123,,,,,Anacostia Mainstem,2003-10,10,2003,4,2003Q4
10/21/1985,ANA01,58,,,0.559000015,,,,,,12,,,286.5,,1,3.487999916,,5.950000048,,,,,,,,0.989000022,,,,,,2.819999933,2.930000067,0.108999997,3.917999983,,0.00975,0.007,0.430000007,0.068999998,,8,0.083999999,,0.400000006,,,,,,0.015,,16.40000057,,96,,26,39,,7.049999953,Anacostia Mainstem,1985-10,10,1985,4,1985Q4
10/21/1996,ANA01,24,,,,,,,,,,,,177.6666667,,1,,,8.866666476,,,,,,,,,,,,,,,,,,,,,,,,,,,0.400000006,,,,,,,,11.63333352,,112,,23,30,,7,Anacostia Mainstem,1996-10,10,1996,4,1996Q4
